name,id,long,lat,distance_core,distance_core_euclidean,distance_core_euclidean_mean,triplength_average,passengers,patronage,cost_total,costppx,percentpaid_base,percentpaid_effective,distance_average
Airport,S7,-84.44617884,33.64068863,9.239109848,8.404998058,7.311361681,12.77893269,5342494,0.129503829,2534771.012,0.47445463,0.355126841,0.26864205,12.77893269
College Park,S6,-84.44880335,33.65153382,8.406060606,7.779287994,6.323682868,10.02706434,4550915,0.110315692,2196053.548,0.482552091,0.445391474,0.305745387,10.02706434
East Point,S5,-84.44080011,33.67687486,6.537310606,6.010125304,5.268138085,8.330033774,3211796,0.077855002,1218346.138,0.379334845,0.521948233,0.334187107,8.330033774
Lakewood,S4,-84.42894403,33.70033143,4.665719697,4.265229214,4.446825896,7.532159048,1475287,0.035761447,1460198.207,0.9897723,0.498413809,0.328587783,7.532159048
Oakland City,S3,-84.42515985,33.71703218,3.467234848,3.184611016,3.758145806,6.32980958,1800266,0.043639046,1417989.297,0.787655434,0.580289026,0.352146262,6.32980958
West End,S2,-84.41366998,33.73582339,1.923295455,1.771704847,3.20144712,5.882366573,2964360,0.071857071,1936749.474,0.653344895,0.62844766,0.388559319,5.882366573
Garnett,S1,-84.39558831,33.74880099,0.46155303,0.412549356,2.721966565,5.74216093,624616,0.015140899,1325166.67,2.121570165,0.454034504,0.290368659,5.74216093
Five Points,5PT,-84.39171258,33.75383639,0,0,2.852288048,6.423415759,7356599,0.178326404,8384789.745,1.139764413,0.524987956,0.341323531,6.423415759
Peachtree Ctr,N1,-84.38756982,33.75968432,0.494318182,0.468276989,3.776313876,8.009760685,4789854,0.116107652,5503708.163,1.149034639,0.496533493,0.37162778,8.009760685
Civic Center,N2,-84.38748589,33.76638675,1.055492424,0.898471366,3.477641965,6.895122667,1237236,0.029991012,2063923.038,1.668172473,0.473694598,0.338052834,6.895122667
North Avenue,N3,-84.38677636,33.77157474,1.506628788,1.255018541,3.715862095,7.059814252,2886540,0.069970689,2729814.409,0.945704688,0.558783013,0.387666358,7.059814252
Midtown,N4,-84.38645593,33.78076435,2.139772727,1.880236911,3.981897744,7.009872004,3127143,0.075802985,2696683.873,0.862347476,0.565524514,0.407095481,7.009872004
Arts Center,N5,-84.38680688,33.7890842,2.767234848,2.445451252,4.229242497,7.23656359,3502829,0.084909739,2569229.06,0.73347259,0.56594783,0.395461521,7.23656359
Lindbergh,N6,-84.36953393,33.8224857,5.507575758,4.9000768,4.644692906,7.09499949,3748163,0.090856716,3923856.387,1.046874532,0.535971368,0.360235422,7.09499949
Lenox,NE7,-84.3569149,33.84596135,7.456818182,6.656989702,5.683749056,9.045620686,1492874,0.036187762,2103477.583,1.409012136,0.416857641,0.298894892,9.045620686
Brookhaven,NE8,-84.33926811,33.85997655,9.025757576,7.912472716,6.024538547,9.716945023,1197214,0.029020865,1234247.436,1.030933013,0.420443093,0.298537513,9.716945023
Chamblee,NE9,-84.30632438,33.88743094,11.83011364,10.43487494,7.19366791,12.01907508,1811934,0.043921882,1694041.229,0.934935394,0.350997184,0.246487889,12.01907508
Doraville,NE10,-84.28101004,33.90239218,13.7282197,12.0561773,8.033745481,14.46115399,2742396,0.06647659,2088569.659,0.76158573,0.285457542,0.200415228,14.46115399
Buckhead,F7,-84.3676571,33.84777333,8.220075758,6.619966821,6.062991659,9.947794089,1821723,0.044159171,1112604.58,0.610743005,0.476602842,0.357708407,9.947794089
Medical Center,F8,-84.35145989,33.91055945,12.91098485,11.04596303,8.073479499,15.41018487,788345,0.019109745,1122269.249,1.423576289,0.319118735,0.247402345,15.41018487
Dunwoody,F9,-84.34441796,33.92107276,13.95700758,11.84176874,8.329072413,14.88207683,1716745,0.041614469,1572745.095,0.916120388,0.348430769,0.24941887,14.88207683
Sandy Springs,F10,-84.35315362,33.93261222,14.91477273,12.51838416,8.291194565,15.66032223,1453483,0.035232911,1608023.933,1.106324555,0.321616628,0.246537596,15.66032223
North Springs,F11,-84.35731927,33.94382362,15.95492424,13.24161536,8.55656865,16.35767453,3274598,0.079377343,1960149.546,0.598592421,0.315476795,0.239920504,16.35767453
H E Holmes,W5,-84.47044032,33.75441241,4.796212121,4.532117569,4.117616005,8.553809194,2916601,0.070699377,2232525.667,0.765454605,0.339547995,0.215126598,8.553809194
West Lake,W4,-84.44538538,33.75324893,3.267045455,3.089945898,3.344620135,6.188474272,577535,0.01399964,1054272.392,1.825469265,0.362312102,0.213614538,6.188474272
Ashby,W3,-84.41679041,33.75628161,1.558238636,1.453383591,2.576642617,5.016999427,783586,0.018994385,1415829.626,1.806859268,0.419255526,0.253224339,5.016999427
Vine City,W2,-84.40473596,33.75646472,0.772159091,0.771248747,2.884467519,5.945642132,664540,0.01610867,1077644.391,1.621639617,0.424676118,0.29547009,5.945642132
Dome,W1,-84.39740411,33.75617862,0.375757576,0.365231864,3.46564207,7.706877206,1740048,0.042179342,3056843.483,1.756758137,0.403423057,0.310075376,7.706877206
Georgia State,E1,-84.38584557,33.74997973,0.400568182,0.429776876,6.180874001,6.59240054,1650602,0.040011141,2182171.33,1.322045733,0.469543958,0.30936211,6.59240054
King Memorial,E2,-84.37554589,33.74980807,1.049810606,0.971177031,2.669028313,5.506167008,691785,0.016769098,1244597.604,1.799110422,0.46800565,0.305486217,5.506167008
Inman Park,E3,-84.35275688,33.75741076,2.515909091,2.255918711,3.279230868,6.243989616,1172702,0.028426686,1420896.836,1.211643569,0.491355562,0.326405868,6.243989616
Edgewood,E4,-84.33988609,33.7618053,3.314772727,3.033368717,3.400855452,6.427638344,582668,0.014124066,1219771.834,2.093425131,0.409478716,0.303144568,6.427638344
East Lake,E5,-84.3130535,33.76511264,5.004166667,4.593896683,4.031462532,7.187329861,669113,0.016219521,1161120.997,1.735313762,0.412209734,0.299797794,7.187329861
Decatur,E6,-84.29537619,33.7745235,6.301136364,5.725251621,5.352420249,7.414569177,1523843,0.036938461,1629657.812,1.069439445,0.434396483,0.274299719,7.414569177
Avondale,E7,-84.28233755,33.77503086,7.102272727,6.462586503,5.520348161,8.466033018,1382831,0.033520283,2041797.588,1.476534434,0.376307878,0.242079249,8.466033018
Kensington,E8,-84.25191914,33.77259708,9.095075758,8.149497275,6.127866372,10.92247978,2592027,0.062831596,2313066.661,0.892377533,0.348676447,0.22434362,10.92247978
Indian Creek,E9,-84.22966419,33.76973987,10.43560606,9.391568418,6.913447396,12.57472208,2210842,0.053591545,1823061.24,0.824600419,0.290250018,0.199076977,12.57472208
Bankhead,P4,-84.42893641,33.77214694,3.017329545,2.486537059,2.998065691,6.366663337,430987,0.010447268,1242261.888,2.882365103,0.227559531,0.133845436,6.366663337
